codigo,tipo_propiedad,tipo_operacion,precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,precio_arriendo,jacuzzi,chimenea,permite_mascotas,gimnasio,ascensor,conjunto_cerrado,piscina,salon_comunal,terraza,vigilancia,coords_modified,localidad,barrio,estacion_tm_cercana,distancia_estacion_tm_m,is_cerca_estacion_tm,parque_cercano,distancia_parque_m,is_cerca_parque,precio_metro_cuadrado_venta,precio_metro_cuadrado_arriendo,ratio_parqueaderos_habitaciones,ratio_habitaciones_banos,ratio_precio_venta_administracion,ratio_precio_arriendo_administracion,ratio_habitaciones_area,distance_to_nearest_juan_valdez,count_near_juan_valdez
3031480,APARTAMENTO,VENTA,19.97,90.0,3.0,2.0,350000.0,2.0,CASA BLANCA SUBA,4,ENTRE 10 Y 20 ANOS,4.74,-74.06,,,0,0,0,1,0,1,0,0,0,0,False,SUBA,CASABLANCA (HACIENDA),Calle 161,1860.67,0,PARQUE VECINAL DESARROLLO CANTALEJO URBANIZACIÓN CANTALEJO MANZANA B,806.34,0,0.22,,0.67,1.5,0.0,,0.03,994.46,0.0
2370955,APARTAMENTO,VENTA,19.84,73.0,3.0,2.0,377000.0,1.0,EL PRADO,4,ENTRE 10 Y 20 ANOS,4.72,-74.06,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,URB. SAN RAFAEL NORTE II,Prado,1047.5,0,PARQUE ZONAL ATABANZA,996.72,0,0.27,,0.33,1.5,0.0,,0.04,611.15,0.0
3026318,APARTAMENTO,VENTA,19.62,70.0,3.0,2.0,387600.0,1.0,BRITALIA,3,ENTRE 10 Y 20 ANOS,4.75,-74.05,,,0,0,0,0,0,0,0,0,0,0,False,SUBA,S.C. GRANADA NORTE,Toberin - Foundever,895.64,0,PARQUE VECINAL DESARROLLO CANTALEJO URBANIZACIÓN CANTALEJO MANZANA B,1033.05,0,0.28,,0.33,1.5,0.0,,0.04,1568.92,0.0
3052285,APARTAMENTO,VENTA,19.76,47.0,2.0,1.0,438000.0,1.0,CHICO LAGO,5,MAS DE 20 ANOS,4.68,-74.05,,,0,0,0,0,0,0,0,0,0,0,False,CHAPINERO,S.C. CHICO NORTE III SECTOR,Calle 100 - Marketmedios,901.98,0,PARQUE ZONAL CANAL EL VIRREY EL CHICO,1128.83,0,0.42,,0.5,2.0,0.0,,0.04,175.75,2.0
3169516,APARTAMENTO,VENTA,19.7,72.0,3.0,2.0,461000.0,1.0,LA ALHAMBRA,5,MAS DE 20 ANOS,4.7,-74.06,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,LA ALHAMBRA SECTOR NORTE,Suba - Calle 116,734.06,0,PARQUE ZONAL CANAL CORDOBA,168.65,1,0.27,,0.33,1.5,0.0,,0.04,1264.2,0.0
2954642,APARTAMENTO,VENTA,19.86,95.0,3.0,2.0,317000.0,1.0,LOS CEDROS,4,MAS DE 20 ANOS,4.72,-74.03,,,0,0,0,0,0,1,0,0,0,0,False,USAQUEN,CEDRITOS,Alcalá,2340.15,0,PARQUE VECINAL NUEVA URBANIZACIÓN EL CEDRITO,895.54,0,0.21,,0.33,1.5,0.0,,0.03,205.14,2.0
2939919,APARTAMENTO,VENTA,19.63,69.0,2.0,2.0,370200.0,0.0,NIZA,5,MAS DE 20 ANOS,4.73,-74.06,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,JEREZ DE LA FRONTERA,Calle 142,1279.29,0,PARQUE VECINAL PRADO PINZÓN,909.6,0,0.28,,0.0,1.0,0.0,,0.03,356.54,2.0
3058186,APARTAMENTO,VENTA,19.01,47.0,3.0,2.0,121000.0,0.0,FONTIBON SAN PABLO,3,ENTRE 0 Y 5 ANOS,4.7,-74.17,,,0,0,0,0,0,1,0,0,0,0,False,FONTIBON,PRADOS DE LA ALAMEDA,Portal El Dorado,5341.42,0,PARQUE ZONAL LA CONCORDIA,2375.58,0,0.4,,0.0,1.5,0.0,,0.06,2423.45,0.0
3253316,APARTAMENTO,VENTA,19.61,72.0,2.0,2.0,460800.0,1.0,LA ALHAMBRA,5,MAS DE 20 ANOS,4.7,-74.06,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,EL ESTORIL,Calle 106,537.74,0,PARQUE ZONAL CANAL CORDOBA,895.64,0,0.27,,0.5,1.0,0.0,,0.03,878.39,0.0
3421685,APARTAMENTO,VENTA,19.01,50.0,2.0,1.0,200000.0,0.0,SUBA,3,ENTRE 5 Y 10 ANOS,4.76,-74.09,,,0,0,0,0,0,0,0,0,0,0,False,SUBA,S.C. TUNA BAJA,Portal Suba,1055.18,0,PARQUE VECINAL URBANIZACIÓN VALLE DE REFOUS,786.83,0,0.38,,0.0,2.0,0.0,,0.04,896.88,0.0
